time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2017-02-06,9.44,9.44,9.44,9.44,0,0.0,,,,,,,,
2017-02-07,9.44,9.44,9.44,9.44,0,0.0,,,,,,,,
2017-02-08,9.44,9.44,9.44,9.44,0,0.0,,,,,,,,
2017-02-09,9.44,9.44,9.44,9.44,0,0.0,,,,,,,,
2017-02-10,9.44,9.44,9.44,9.44,0,0.0,,,,,,,,
2017-02-13,9.44,9.44,9.44,9.44,0,0.0,,,,,,,,
2017-02-14,9.44,9.44,9.44,9.44,0,0.0,,,,,,,,
2017-02-15,9.44,9.44,9.44,9.44,0,0.0,,,,,,,,
2017-02-16,9.44,9.44,9.44,9.44,0,0.0,,,,,,,,
2017-02-17,9.44,9.44,9.44,9.44,0,0.0,,,,,,,,
2017-02-20,9.44,9.44,9.44,9.44,0,0.0,,,,,,,,
2017-02-21,9.44,9.44,9.44,9.44,0,0.0,,,,,,,,
2017-02-22,9.44,9.44,9.44,9.44,0,0.0,,,,,,,,
2017-02-23,9.44,9.44,9.44,9.44,0,0.0,,,,,,,,
2017-02-24,9.44,9.44,9.44,9.44,0,0.0,,,,,,,,
2017-02-27,9.44,9.44,9.44,9.44,0,0.0,,,,,,,,
2017-02-28,9.44,9.44,9.44,9.44,0,0.0,,,,,,,,
2017-03-01,9.44,9.44,9.44,9.44,0,0.0,,,,,,,,
2017-03-02,11.8,11.8,11.8,11.8,500,5900.0,,,,,,,,
2017-03-03,11.8,11.8,11.8,11.8,0,0.0,,,,,,,,
2017-03-06,11.8,11.8,11.8,11.8,0,0.0,,,,,,,,
2017-03-07,11.8,11.8,11.8,11.8,0,0.0,,,,,,,,
2017-03-08,11.8,11.8,11.8,11.8,0,0.0,,,,,,,,
2017-03-09,11.8,11.8,11.8,11.8,0,0.0,,,,,,,,
2017-03-10,11.8,11.8,11.8,11.8,0,0.0,,,,,,,,
2017-03-13,11.8,11.8,11.8,11.8,0,0.0,,,,,,,,
2017-03-14,11.8,11.8,11.8,11.8,0,0.0,,,,,,,,
2017-03-15,11.8,11.8,11.8,11.8,0,0.0,,,,,,,,
2017-03-16,11.8,11.8,11.8,11.8,0,0.0,,,,,,,,
2017-03-17,11.8,11.8,11.8,11.8,0,0.0,,,,,,,,
2017-03-20,11.8,11.8,11.8,11.8,0,0.0,,,,,,,,
2017-03-21,11.8,11.8,11.8,11.8,0,0.0,,,,,,,,
2017-03-22,11.8,11.8,11.8,11.8,0,0.0,,,,,,,,
2017-03-23,11.8,11.8,11.8,11.8,0,0.0,,,,,,,,
2017-03-24,11.8,11.8,11.8,11.8,0,0.0,,,,,,,,
2017-03-27,11.8,11.8,11.8,11.8,0,0.0,,,,,,,,
2017-03-28,11.8,11.8,11.8,11.8,0,0.0,,,,,,,,
2017-03-29,11.8,11.8,11.8,11.8,0,0.0,,,,,,,,
2017-03-30,11.8,11.8,11.8,11.8,0,0.0,,,,,,,,
2017-03-31,11.8,11.8,11.8,11.8,0,0.0,,,,,,,,
2017-04-03,11.8,11.8,11.8,11.8,0,0.0,,,,,,,,
2017-04-04,11.8,11.8,11.8,11.8,0,0.0,,,,,,,,
2017-04-05,11.8,11.8,11.8,11.8,0,0.0,,,,,,,,
2017-04-07,11.8,11.8,11.8,11.8,0,0.0,,,,,,,,
2017-04-10,11.8,11.8,11.8,11.8,0,0.0,,,,,,,,
2017-04-11,11.8,11.8,11.8,11.8,0,0.0,,,,,,,,
2017-04-12,11.8,11.8,11.8,11.8,0,0.0,,,,,,,,
2017-04-13,11.8,11.8,11.8,11.8,0,0.0,,,,,,,,
2017-04-14,11.8,11.8,11.8,11.8,0,0.0,,,,,,,,
2017-04-17,11.8,11.8,11.8,11.8,0,0.0,,,,,,,,
2017-04-18,11.8,11.8,11.8,11.8,0,0.0,,,,,,,,
2017-04-19,11.8,11.8,11.8,11.8,0,0.0,,,,,,,,
2017-04-20,11.8,11.8,11.8,11.8,0,0.0,,,,,,,,
2017-04-21,11.8,11.8,11.8,11.8,0,0.0,,,,,,,,
2017-04-24,11.8,11.8,11.8,11.8,0,0.0,,,,,,,,
2017-04-25,11.8,11.8,11.8,11.8,0,0.0,,,,,,,,
2017-04-26,11.8,11.8,11.8,11.8,0,0.0,,,,,,,,
2017-04-27,11.8,11.8,11.8,11.8,0,0.0,,,,,,,,
2017-04-28,11.8,11.8,11.8,11.8,0,0.0,,,,,,,,
2017-05-03,11.8,11.8,11.8,11.8,0,0.0,,,,,,,,
2017-05-04,11.8,11.8,11.8,11.8,0,0.0,,,,,,,,
2017-05-05,11.8,11.8,11.8,11.8,0,0.0,,,,,,,,
