ticker,industry,exchange
HBC,Construction & Materials,UPCOM
HBD,Industrial Goods & Services,UPCOM
HBH,Food & Beverage,UPCOM
HBS,Financial Services,HNX
HC1,Construction & Materials,UPCOM
HC3,Construction & Materials,UPCOM
HCC,Construction & Materials,HNX
HCD,Construction & Materials,HOSE
HCI,Construction & Materials,UPCOM
HCM,Financial Services,HOSE
HCT,Industrial Goods & Services,HNX
HD2,Real Estate,UPCOM
HD6,Real Estate,UPCOM
HD8,Real Estate,UPCOM
HDA,Construction & Materials,HNX
HDB,Banks,HOSE
HDC,Real Estate,HOSE
HDG,Real Estate,HOSE
HDM,Personal & Household Goods,UPCOM
HDP,Health Care,UPCOM
HDW,Utilities,UPCOM
HEC,Construction & Materials,UPCOM
HEJ,Construction & Materials,UPCOM
HEP,Industrial Goods & Services,UPCOM
HES,Travel & Leisure,UPCOM
HEV,Media,HNX
HFB,Construction & Materials,UPCOM
HFC,Utilities,UPCOM
HFX,Construction & Materials,UPCOM
HGM,Basic Resources,HNX
HGT,Travel & Leisure,UPCOM
HHB,Unknown,UPCOM
HHC,Food & Beverage,HNX
HHG,Industrial Goods & Services,UPCOM
HHN,Industrial Goods & Services,UPCOM
HHP,Basic Resources,HOSE
HHS,Automobiles & Parts,HOSE
HHV,Industrial Goods & Services,HOSE
HID,Construction & Materials,HOSE
HII,Basic Resources,HOSE
HIO,Industrial Goods & Services,UPCOM
HJC,Food & Beverage,UPCOM
HJS,Utilities,HNX
HKB,Food & Beverage,UPCOM
HKT,Food & Beverage,HNX
HLA,Basic Resources,UPCOM
HLB,Food & Beverage,UPCOM
HLC,Basic Resources,HNX
HLD,Construction & Materials,HNX
HLO,Industrial Goods & Services,UPCOM
HLS,Industrial Goods & Services,UPCOM
HLT,Personal & Household Goods,UPCOM
HLY,Construction & Materials,UPCOM
HMC,Basic Resources,HOSE
HMD,Chemicals,UPCOM
HMG,Construction & Materials,UPCOM
HMH,Industrial Goods & Services,HNX
HMR,Construction & Materials,HNX
HMS,Construction & Materials,UPCOM
HNA,Utilities,HOSE
HNB,Travel & Leisure,UPCOM
HND,Utilities,UPCOM
HNF,Food & Beverage,UPCOM
HNG,Food & Beverage,UPCOM
HNI,Personal & Household Goods,UPCOM
HNM,Food & Beverage,UPCOM
HNP,Chemicals,UPCOM
HNR,Food & Beverage,UPCOM
HOM,Construction & Materials,HNX
HOT,Travel & Leisure,UPCOM
HPB,Industrial Goods & Services,UPCOM
HPD,Utilities,UPCOM
HPG,Basic Resources,HOSE
HPH,Chemicals,UPCOM
HPI,Real Estate,UPCOM
HPM,Construction & Materials,UPCOM
HPO,Industrial Goods & Services,UPCOM
HPP,Chemicals,UPCOM
HPT,Technology,UPCOM
HPW,Utilities,UPCOM
HPX,Real Estate,HOSE
HQC,Real Estate,HOSE
HRB,Real Estate,UPCOM
HRC,Chemicals,HOSE
HSA,Industrial Goods & Services,UPCOM
HSG,Basic Resources,HOSE
HSI,Chemicals,UPCOM
HSL,Food & Beverage,HOSE
HSM,Personal & Household Goods,UPCOM
HSP,Construction & Materials,UPCOM
HSV,Basic Resources,UPCOM
